Destination,Number of Travelers,Number of Days,Package Type,Season,Estimated Cost
Mahabaleshwar,1,5,Budget,Summer,12695.12
Tirupati,1,10,Standard,Spring,29214.73
Ziro,4,3,Standard,Summer,16153.67
Auli,8,14,Budget,Autumn,262839.26
Pelling,7,1,Standard,Monsoon,8699.91
Agra,7,12,Standard,Spring,156356.88
Mumbai,8,5,Budget,Winter,111664.63
Alleppey,1,6,Budget,Monsoon,11545.47
Kodaikanal,1,3,Luxury,Autumn,12323.67
Kalimpong,4,4,Budget,Winter,17440.12
Port Blair,5,1,Standard,Monsoon,9884.29
Dharamshala,7,6,Standard,Winter,58356.07
Tawang,3,4,Budget,Autumn,19629.27
Ooty,5,2,Standard,Monsoon,15820.32
Kodaikanal,4,13,Standard,Summer,108837.62
Tirupati,4,14,Budget,Summer,101003.5
Tirupati,2,2,Budget,Monsoon,5725.64
Haridwar,1,2,Standard,Monsoon,1904.78
North Goa,1,12,Luxury,Spring,65680.07
Khajuraho,5,12,Luxury,Monsoon,153759.08
Konark,1,5,Budget,Summer,9791.73
Nainital,3,11,Standard,Spring,71888.57
North Goa,4,11,Standard,Monsoon,83235.53
Ooty,5,1,Standard,Spring,9952.67
Hampi,4,7,Standard,Spring,33957.91
Gokarna,7,11,Budget,Monsoon,46903.33
Kochi,2,3,Budget,Spring,9430.56
Mahabaleshwar,7,4,Budget,Spring,38019.92
Varanasi,8,7,Budget,Spring,40323.75
Srinagar,1,7,Luxury,Spring,39261.77
Mahabalipuram,4,6,Luxury,Winter,68657.85
Bhubaneswar,7,10,Standard,Spring,92086.89
Hampi,2,6,Standard,Autumn,17616.3
Shillong,6,3,Standard,Spring,34244.54
North Goa,3,3,Standard,Winter,28036.2
Kochi,5,3,Budget,Summer,24970.21
Leh,7,10,Budget,Spring,193739.45
Shimla,5,3,Standard,Summer,37357.54
Khajuraho,4,6,Luxury,Monsoon,56620.48
Pahalgam,1,4,Budget,Monsoon,7206.39
Kodaikanal,4,13,Standard,Autumn,88073.73
Gwalior,1,6,Budget,Monsoon,7809.2
Madurai,2,11,Standard,Monsoon,22847.25
Kalimpong,3,3,Standard,Spring,12101.43
Ooty,1,13,Budget,Autumn,27898.77
Haridwar,8,13,Standard,Summer,91148.36
Kanyakumari,3,3,Budget,Winter,10271.81
Rishikesh,7,14,Budget,Winter,85601.56
Havelock Island,5,11,Luxury,Autumn,418644.17
Bhubaneswar,1,6,Luxury,Spring,18756.97
Pachmarhi,7,12,Luxury,Summer,203855.08
Kanyakumari,6,11,Budget,Monsoon,46099.77
Havelock Island,1,5,Budget,Winter,29784.16
Manali,2,7,Standard,Autumn,31358.44
Puri,7,10,Standard,Monsoon,66246.58
Wayanad,2,12,Luxury,Summer,92512.96
Mumbai,6,2,Budget,Summer,35356.66
Cherrapunji,7,5,Budget,Autumn,51405.76
Shillong,3,13,Standard,Winter,98605.31
Alleppey,3,5,Standard,Autumn,35302.67
Udaipur,8,10,Luxury,Monsoon,310796.08
Mussoorie,6,13,Budget,Winter,137870.91
Rishikesh,6,1,Standard,Monsoon,4707.44
Gwalior,5,1,Luxury,Winter,15177.37
Coorg,7,12,Budget,Summer,139675.4
Madurai,4,6,Luxury,Monsoon,33976.21
Mussoorie,2,2,Standard,Autumn,9665.9
Lonavala,2,10,Standard,Autumn,41308.09
Majuli,5,5,Standard,Spring,25085.37
Orchha,5,8,Standard,Monsoon,40666.05
Auli,8,8,Luxury,Monsoon,252330.45
Agra,6,2,Luxury,Winter,45650.25
Munnar,3,9,Budget,Autumn,43201.96
Pondicherry,5,6,Luxury,Autumn,93680.16
Mussoorie,2,14,Standard,Autumn,68784.51
Mysore,5,4,Standard,Autumn,33683.36
Mumbai,7,6,Standard,Autumn,133310.11
Port Blair,7,9,Luxury,Autumn,232191.48
Manali,7,10,Standard,Spring,130660.39
Gwalior,6,10,Standard,Summer,106925.71
Gir National Park,4,10,Budget,Autumn,99841.7
Kolkata,5,6,Standard,Autumn,55372.25
Gulmarg,6,12,Budget,Spring,220230.08
Khajuraho,1,4,Budget,Summer,9984.07
Pahalgam,7,14,Luxury,Spring,301980.86
Kanyakumari,5,10,Budget,Winter,56704.4
Jodhpur,1,11,Luxury,Summer,61054.58
Rishikesh,7,1,Standard,Monsoon,5220.15
Kovalam,1,10,Budget,Winter,35790.1
Pondicherry,4,4,Standard,Autumn,30331.25
Srinagar,8,12,Luxury,Spring,338555.66
Kalimpong,8,9,Standard,Monsoon,64259.01
Varanasi,3,8,Budget,Spring,21265.33
Kumarakom,4,4,Budget,Winter,49908.94
Varanasi,5,2,Luxury,Autumn,17467.98
Darjeeling,5,10,Budget,Spring,80667.87
Kovalam,2,5,Standard,Monsoon,25730.36
Shillong,2,7,Luxury,Monsoon,39994.77
Jodhpur,4,4,Budget,Spring,22742.68
Manali,2,1,Standard,Winter,5444.51
Pushkar,6,9,Budget,Autumn,39416.05
Pachmarhi,8,6,Standard,Autumn,58599.3
Pelling,4,1,Luxury,Monsoon,8821.69
Jaipur,3,3,Standard,Winter,25220.18
Shillong,1,9,Standard,Autumn,25418.89
Visakhapatnam,6,7,Budget,Spring,52278.96
Manali,5,6,Luxury,Autumn,93829.41
Mussoorie,8,10,Budget,Monsoon,89487.43
Pahalgam,1,10,Budget,Summer,26730.67
Orchha,6,2,Luxury,Spring,22493.09
Rameswaram,7,3,Luxury,Summer,38647.96
Gulmarg,6,13,Budget,Spring,234980.32
Gulmarg,5,2,Standard,Autumn,41172.99
Shillong,4,10,Standard,Monsoon,62050.94
Mahabaleshwar,7,7,Standard,Monsoon,69551.05
Auli,2,3,Budget,Autumn,17591.34
Kovalam,4,10,Budget,Spring,78397.89
Bhubaneswar,7,11,Standard,Winter,119705.65
Varkala,4,14,Standard,Autumn,66626.01
Cherrapunji,2,14,Luxury,Autumn,107665.88
Pelling,3,9,Budget,Monsoon,28500.16
Manali,7,11,Luxury,Monsoon,177606.21
Tawang,8,3,Standard,Winter,53665.58
Pune,4,7,Budget,Summer,42185.38
Jodhpur,7,7,Standard,Spring,87474.16
Havelock Island,2,5,Budget,Autumn,40433.05
Auli,1,12,Luxury,Summer,118591.27
Pushkar,5,2,Standard,Winter,12091.63
Gokarna,1,2,Standard,Winter,3622.48
Gokarna,8,10,Standard,Monsoon,65016.65
Jaisalmer,6,7,Budget,Winter,77817.84
Araku Valley,6,14,Standard,Winter,126319.85
Varanasi,7,3,Luxury,Winter,41933.78
Auli,1,5,Standard,Autumn,24874.85
Varkala,1,2,Budget,Winter,3232.86
Kochi,2,10,Luxury,Monsoon,51932.94
Ranthambore,2,3,Luxury,Summer,46962.48
Manali,3,3,Budget,Spring,14052.04
Ziro,2,13,Budget,Summer,30614.44
Gulmarg,5,5,Luxury,Spring,169336.78
Udaipur,7,12,Standard,Summer,317364.25
Madurai,1,10,Luxury,Winter,30551.97
Pune,2,3,Standard,Summer,14118.16
Wayanad,5,1,Luxury,Winter,16884.37
Agra,1,9,Budget,Monsoon,16462.35
Araku Valley,8,7,Budget,Summer,56010.13
Mahabaleshwar,1,5,Budget,Monsoon,8499.55
Tirupati,3,3,Budget,Winter,18671.22
Munnar,3,5,Luxury,Monsoon,43240.46
Gulmarg,1,8,Luxury,Monsoon,61590.21
Shillong,4,5,Budget,Autumn,28035.75
Mount Abu,6,13,Standard,Summer,167407.9
Araku Valley,1,9,Luxury,Summer,31116.03
Srinagar,5,3,Budget,Monsoon,21571.92
Coorg,6,12,Budget,Winter,121825.4
Varanasi,5,7,Budget,Monsoon,23809.87
Tirupati,8,8,Standard,Summer,144499.64
Havelock Island,2,8,Standard,Spring,85036.95
Ooty,6,9,Standard,Spring,100283.34
Mussoorie,2,8,Luxury,Winter,71520.2
Udaipur,1,4,Luxury,Autumn,31507.01
Chennai,8,10,Standard,Summer,140234.1
Tirupati,7,12,Luxury,Winter,299658.7
Pune,5,7,Standard,Summer,67435.36
Shillong,5,14,Standard,Monsoon,108866.74
Kumarakom,8,7,Budget,Winter,161307.35
Pushkar,1,9,Budget,Summer,12141.8
Ranthambore,6,11,Luxury,Autumn,370190.0
Gir National Park,8,10,Budget,Monsoon,147596.52
Jodhpur,5,10,Budget,Summer,88108.5
Jodhpur,6,8,Luxury,Summer,171562.93
Agra,3,2,Budget,Summer,11454.29
Pachmarhi,1,2,Budget,Autumn,2998.81
Gokarna,4,3,Standard,Summer,15587.92
Kanyakumari,7,2,Luxury,Autumn,25949.95
Orchha,6,9,Standard,Winter,75727.59
Pune,8,10,Budget,Spring,89462.12
Shillong,5,8,Luxury,Monsoon,101717.22
Pushkar,2,5,Budget,Spring,8964.21
Puri,4,8,Standard,Winter,45324.74
Ziro,7,11,Budget,Spring,59559.68
Ranthambore,7,12,Luxury,Monsoon,354937.09
Orchha,2,12,Luxury,Spring,54573.08
Leh,2,6,Standard,Monsoon,42107.9
Bhubaneswar,8,11,Budget,Monsoon,67852.67
Pushkar,6,7,Standard,Winter,50935.27
Ziro,4,12,Luxury,Autumn,83190.97
Ooty,8,14,Luxury,Summer,382873.59
Wayanad,5,6,Standard,Autumn,53496.25
Tirupati,4,4,Standard,Summer,39122.14
Agra,2,10,Budget,Monsoon,28003.79
Madurai,6,2,Standard,Monsoon,10277.79
Bhubaneswar,7,2,Luxury,Autumn,29367.1
Dharamshala,4,14,Standard,Spring,67065.94
Gwalior,8,2,Budget,Winter,19703.32
Kodaikanal,6,11,Standard,Summer,137612.35
Pondicherry,5,7,Standard,Monsoon,55425.05
Coorg,5,4,Standard,Spring,37643.29
Khajuraho,2,8,Standard,Autumn,35714.15
Kumarakom,4,8,Luxury,Spring,175118.67
Mahabaleshwar,7,8,Luxury,Winter,195873.1
Pelling,2,5,Luxury,Spring,31702.36
Kumarakom,6,2,Standard,Winter,49144.19
Pachmarhi,6,7,Budget,Monsoon,31976.67
Mount Abu,8,3,Luxury,Monsoon,49944.13
Dharamshala,5,7,Luxury,Winter,87489.43
Wayanad,2,3,Budget,Autumn,9054.94
Pachmarhi,6,4,Budget,Monsoon,19076.01
Gwalior,2,8,Luxury,Spring,45591.72
Ranthambore,5,12,Luxury,Summer,402616.19
Varanasi,5,3,Budget,Winter,15430.31
Rann of Kutch,4,2,Standard,Monsoon,24102.9
Gulmarg,7,9,Standard,Autumn,241603.86
Gir National Park,4,2,Luxury,Autumn,42632.0
Shimla,7,12,Budget,Monsoon,100304.28
Gwalior,3,1,Budget,Autumn,3636.13
Mahabalipuram,1,2,Luxury,Monsoon,5525.46
Pondicherry,6,5,Standard,Summer,68557.66
Munnar,2,8,Standard,Monsoon,29976.16
Wayanad,7,8,Luxury,Monsoon,113923.66
Darjeeling,3,5,Standard,Spring,33863.75
Jaisalmer,7,1,Standard,Spring,13252.75
South Goa,1,12,Budget,Autumn,41423.11
Agra,5,10,Budget,Winter,96661.55
Auli,4,1,Budget,Winter,12397.48
Port Blair,1,1,Luxury,Monsoon,4421.1
Kovalam,3,9,Standard,Spring,79122.44
Ooty,2,5,Standard,Summer,26787.36
Mahabaleshwar,8,12,Luxury,Autumn,261488.35
Varkala,3,6,Luxury,Spring,38167.13
Rann of Kutch,1,8,Standard,Autumn,44154.51
Puri,7,11,Luxury,Monsoon,115843.85
Port Blair,2,9,Budget,Autumn,37897.93
Kalimpong,4,7,Budget,Spring,25420.12
Mumbai,3,12,Luxury,Summer,245332.99
Mount Abu,4,10,Budget,Summer,63722.23
Jaipur,1,11,Budget,Autumn,25745.51
Lonavala,8,5,Standard,Monsoon,53084.78
Alleppey,7,7,Standard,Monsoon,82837.28
Tawang,7,13,Budget,Winter,163905.92
Varkala,1,11,Standard,Summer,23319.01
Mahabalipuram,8,12,Standard,Monsoon,104197.2
Puri,6,11,Budget,Winter,68562.42
Mount Abu,8,1,Luxury,Autumn,21233.37
Lonavala,4,12,Luxury,Summer,159014.1
Port Blair,2,7,Budget,Winter,34818.88
Madurai,3,4,Standard,Summer,17180.77
Tawang,2,5,Budget,Winter,21847.0
Nainital,1,8,Budget,Spring,17129.52
Araku Valley,4,11,Budget,Summer,49105.71
Dalhousie,4,11,Luxury,Autumn,121183.22
Thekkady,3,2,Standard,Summer,15866.78
Hampi,7,2,Standard,Summer,19162.56
Tawang,6,7,Luxury,Summer,158286.66
Hampi,4,1,Standard,Summer,5920.82
Cherrapunji,3,10,Standard,Autumn,64987.74
Cherrapunji,4,1,Luxury,Winter,15573.17
Rishikesh,6,6,Luxury,Summer,69673.29
Jaisalmer,8,8,Standard,Spring,120483.97
Kodaikanal,3,3,Standard,Autumn,17146.31
Pushkar,8,4,Luxury,Summer,55982.32
Haridwar,2,13,Luxury,Summer,46903.91
Khajuraho,1,7,Luxury,Winter,36049.27
Pondicherry,7,1,Standard,Monsoon,10098.21
Visakhapatnam,4,4,Budget,Autumn,20142.84
Lucknow,2,3,Budget,Summer,10884.81
Lonavala,8,13,Standard,Autumn,170533.12
Lonavala,7,2,Luxury,Summer,44528.44
Rann of Kutch,2,13,Budget,Autumn,84842.32
Bengaluru,5,1,Luxury,Autumn,22220.88
Rann of Kutch,6,8,Budget,Winter,160097.57
Pondicherry,7,9,Luxury,Monsoon,144855.5
Ranthambore,2,4,Standard,Summer,39160.28
Pelling,5,5,Standard,Summer,52625.64
Shimla,2,2,Luxury,Summer,18123.28
Konark,5,13,Budget,Spring,75735.4
Mysore,2,5,Budget,Summer,16675.06
Pachmarhi,7,2,Standard,Autumn,18176.72
Agra,6,13,Budget,Summer,139059.11
Orchha,7,7,Budget,Spring,42703.2
Jodhpur,4,8,Budget,Spring,45414.78
Dalhousie,3,8,Budget,Monsoon,26534.34
Munnar,3,1,Budget,Summer,5866.13
Manali,5,10,Luxury,Summer,181210.98
Ziro,6,1,Luxury,Spring,10152.21
Mumbai,5,12,Luxury,Summer,418521.11
Puri,1,11,Budget,Winter,17103.39
Gir National Park,3,10,Standard,Spring,105229.78
Lucknow,2,11,Budget,Autumn,33263.55
Bengaluru,1,6,Standard,Winter,28313.67
Havelock Island,8,3,Standard,Autumn,98752.63
Araku Valley,3,6,Standard,Summer,28267.45
Gokarna,4,11,Standard,Winter,57498.25
Ooty,3,7,Luxury,Summer,82663.82
Lonavala,5,7,Budget,Winter,56463.88
Kaziranga,6,2,Luxury,Monsoon,47554.71
Gangtok,7,11,Budget,Spring,120763.72
Nainital,7,6,Budget,Winter,68568.79
Gulmarg,4,8,Standard,Monsoon,103040.36
Orchha,6,7,Standard,Winter,61006.46
Srinagar,2,3,Budget,Spring,13021.36
Majuli,5,7,Luxury,Spring,58025.71
Mahabaleshwar,1,14,Standard,Spring,39562.56
Tirupati,8,11,Luxury,Autumn,266737.64
Darjeeling,2,10,Standard,Summer,60371.97
Rann of Kutch,3,3,Luxury,Autumn,56371.88
Madurai,4,3,Standard,Monsoon,10106.15
Jaipur,7,12,Standard,Winter,210771.97
Gangtok,2,13,Standard,Winter,81827.88
Mahabaleshwar,7,8,Luxury,Spring,159727.0
Kovalam,1,1,Budget,Monsoon,2332.64
Kodaikanal,4,13,Budget,Summer,79752.15
Madurai,1,7,Standard,Monsoon,8903.43
Wayanad,7,14,Luxury,Autumn,256699.72
Bengaluru,1,13,Standard,Autumn,52228.89
South Goa,6,2,Luxury,Spring,56288.93
Bengaluru,5,4,Budget,Autumn,41768.99
Pushkar,3,13,Standard,Summer,52229.56
Coorg,7,9,Budget,Winter,103414.19
Konark,5,10,Budget,Spring,57079.3
Puri,7,9,Luxury,Spring,117429.75
Pachmarhi,1,11,Standard,Winter,25992.52
Araku Valley,7,5,Standard,Summer,48115.98
Tawang,2,13,Standard,Spring,62942.98
Orchha,8,4,Budget,Spring,26835.05
Visakhapatnam,8,14,Standard,Spring,169043.34
Mahabalipuram,5,5,Luxury,Winter,73090.12
Nainital,7,10,Standard,Summer,158542.31
Leh,5,12,Standard,Summer,257341.04
Hampi,6,12,Budget,Winter,75061.64
Konark,1,13,Budget,Summer,25260.32
Mumbai,8,7,Budget,Monsoon,108901.65
Majuli,8,11,Luxury,Summer,162073.66
Port Blair,8,10,Budget,Autumn,134063.91
Mahabaleshwar,3,1,Budget,Winter,5464.38
Bengaluru,4,1,Standard,Winter,13071.88
Gir National Park,3,2,Standard,Winter,25718.93
Gulmarg,2,14,Standard,Spring,133506.63
Rameswaram,2,8,Standard,Autumn,19600.84
Ranthambore,3,6,Luxury,Autumn,107006.86
Pelling,2,2,Standard,Winter,9284.52
Mahabaleshwar,6,9,Luxury,Winter,193836.28
Araku Valley,4,14,Standard,Summer,78440.42
Ranthambore,3,13,Budget,Autumn,104223.28
Rann of Kutch,2,7,Standard,Summer,75107.38
Ranthambore,2,10,Budget,Spring,58970.71
Bhubaneswar,8,2,Budget,Spring,14527.83
Coorg,5,9,Luxury,Autumn,137592.94
Cherrapunji,8,9,Standard,Winter,158133.07
Mumbai,1,5,Budget,Summer,22530.04
Nainital,6,11,Standard,Spring,125570.02
Kanyakumari,8,1,Luxury,Winter,17329.39
Pune,4,2,Luxury,Winter,25944.11
Kovalam,7,6,Standard,Winter,129955.95
Pachmarhi,3,13,Luxury,Monsoon,75279.11
Kolkata,7,12,Standard,Summer,171351.63
Mussoorie,6,14,Budget,Spring,124389.0
Bengaluru,4,11,Luxury,Autumn,186846.31
Dalhousie,3,4,Standard,Spring,21761.96
Wayanad,5,11,Luxury,Autumn,150407.14
Port Blair,8,13,Standard,Winter,281446.89
Ooty,2,12,Luxury,Monsoon,67962.98
Mumbai,2,5,Standard,Autumn,39940.47
Shillong,1,9,Standard,Autumn,25527.23
Tawang,6,13,Luxury,Winter,297386.9
Madurai,4,8,Luxury,Autumn,54762.6
Cherrapunji,1,5,Luxury,Monsoon,19622.01
Kovalam,6,3,Budget,Monsoon,29802.39
Kanyakumari,7,14,Luxury,Spring,178859.52
Munnar,6,6,Budget,Spring,55707.77
Varkala,8,6,Budget,Monsoon,32136.48
Bhubaneswar,4,6,Budget,Summer,29332.37
Manali,5,7,Budget,Autumn,51747.4
Majuli,6,1,Luxury,Spring,9945.46
Kolkata,1,10,Luxury,Summer,50777.52
Pelling,3,11,Budget,Autumn,44753.14
Udaipur,7,3,Budget,Spring,49789.66
Mahabaleshwar,5,4,Luxury,Summer,74329.01
Gulmarg,7,7,Luxury,Autumn,307615.81
Jodhpur,5,9,Luxury,Monsoon,112362.7
Konark,7,2,Luxury,Summer,38276.41
Auli,7,8,Budget,Monsoon,109566.16
Khajuraho,3,4,Budget,Winter,22816.23
Mount Abu,1,14,Budget,Spring,27073.51
Agra,3,9,Budget,Winter,54148.04
Tawang,3,9,Budget,Summer,53291.63
Tirupati,1,5,Luxury,Monsoon,18779.61
Lucknow,6,9,Standard,Winter,107753.04
Srinagar,2,10,Budget,Winter,51396.04
Alleppey,8,12,Standard,Autumn,193048.77
Havelock Island,2,2,Luxury,Winter,39138.71
Havelock Island,7,12,Standard,Autumn,341535.8
Ziro,1,1,Standard,Summer,1920.6
Puri,7,4,Budget,Spring,24626.01
Udaipur,1,10,Luxury,Spring,80644.55
Port Blair,8,4,Budget,Summer,62902.03
Alleppey,7,6,Budget,Spring,64558.21
Kumarakom,4,14,Luxury,Winter,358586.79
Dharamshala,1,10,Standard,Winter,21178.6
Ooty,6,12,Budget,Monsoon,78590.21
Varkala,8,5,Luxury,Summer,85745.81
Lucknow,5,13,Standard,Monsoon,90070.0
Jodhpur,1,6,Budget,Winter,14347.81
Pondicherry,2,2,Standard,Winter,10896.38
Agra,2,4,Budget,Monsoon,11791.59
Udaipur,8,8,Standard,Autumn,191139.95
Mumbai,6,5,Standard,Monsoon,79218.11
Udaipur,4,6,Budget,Autumn,58043.6
Kochi,8,9,Luxury,Autumn,187689.24
Gangtok,6,11,Standard,Spring,142169.84
Madurai,3,12,Luxury,Autumn,67220.18
Khajuraho,5,10,Standard,Winter,117617.32
Jaisalmer,4,4,Budget,Autumn,23581.43
Visakhapatnam,1,10,Luxury,Monsoon,30892.63
Kovalam,2,6,Luxury,Monsoon,50463.26
Pushkar,1,6,Budget,Monsoon,5282.9
Kochi,6,8,Standard,Monsoon,66723.38
Gangtok,7,10,Standard,Summer,170850.14
Lonavala,2,4,Luxury,Winter,30994.15
Lucknow,8,13,Standard,Summer,199599.11
Pelling,4,1,Luxury,Monsoon,8986.06
Alleppey,7,9,Standard,Autumn,128563.46
Khajuraho,1,13,Standard,Spring,35857.52
Munnar,2,8,Luxury,Summer,72856.79
Port Blair,7,11,Budget,Monsoon,103794.12
Kalimpong,2,14,Budget,Winter,36351.15
Gwalior,6,5,Standard,Monsoon,34470.55
Ooty,1,10,Budget,Summer,25090.29
Rishikesh,3,10,Standard,Summer,39904.35
Mysore,7,8,Standard,Autumn,83594.18
Araku Valley,6,1,Standard,Autumn,7146.73
Gangtok,5,6,Luxury,Monsoon,85465.32
Alleppey,5,10,Standard,Spring,106612.64
North Goa,8,2,Luxury,Winter,68574.7
Mahabaleshwar,4,5,Budget,Summer,33890.42
Konark,6,1,Budget,Winter,8126.45
Pelling,8,1,Budget,Summer,11274.82
Haridwar,8,5,Standard,Summer,36131.91
Pahalgam,3,1,Luxury,Autumn,10441.91
Thekkady,1,2,Budget,Spring,4420.23
Kovalam,4,12,Standard,Monsoon,100670.38
Madurai,2,9,Budget,Winter,20655.58
South Goa,7,11,Standard,Autumn,217572.07
Puri,8,6,Standard,Winter,65611.86
Jaisalmer,1,14,Budget,Monsoon,25159.73
Gwalior,2,6,Budget,Winter,18882.42
Lonavala,3,9,Budget,Monsoon,30754.2
Kumarakom,6,13,Budget,Winter,234137.76
Darjeeling,7,6,Luxury,Summer,151917.49
Rann of Kutch,3,14,Budget,Autumn,127805.85
Bengaluru,1,14,Luxury,Spring,89849.98
Orchha,4,9,Luxury,Winter,84913.21
Shillong,4,8,Budget,Spring,44607.27
Madurai,2,5,Budget,Autumn,10118.98
Majuli,2,11,Standard,Spring,26278.21
Havelock Island,6,11,Standard,Autumn,272070.01
Ranthambore,1,7,Luxury,Autumn,56766.26
Darjeeling,6,8,Standard,Autumn,99521.67
Rann of Kutch,6,1,Luxury,Summer,42745.53
Dharamshala,8,13,Standard,Spring,118820.16
Shimla,1,11,Budget,Winter,30053.14
Haridwar,6,7,Standard,Autumn,33872.7
Pahalgam,8,10,Luxury,Summer,303099.69
Jaisalmer,2,7,Luxury,Autumn,54535.22
Agra,2,4,Luxury,Spring,30385.04
Kolkata,1,13,Standard,Autumn,34159.28
Kochi,4,5,Luxury,Summer,65932.58
Kolkata,7,10,Standard,Winter,138717.12
Shillong,4,11,Budget,Monsoon,49359.74
Kolkata,3,5,Budget,Summer,25403.6
Leh,6,1,Standard,Monsoon,17463.94
South Goa,8,6,Luxury,Autumn,213199.82
Madurai,2,5,Budget,Winter,11637.3
Gokarna,3,8,Budget,Autumn,20532.49
Ranthambore,1,14,Standard,Summer,83189.67
Pelling,6,11,Budget,Autumn,82653.46
Kochi,7,6,Budget,Summer,63309.49
Pune,6,5,Luxury,Summer,95285.11
Varkala,8,10,Standard,Summer,109520.8
Pahalgam,2,11,Standard,Summer,63136.8
Auli,2,1,Budget,Autumn,5652.06
Kolkata,4,13,Luxury,Autumn,148345.98
Pushkar,5,8,Luxury,Summer,77618.51
Tirupati,4,1,Budget,Spring,6133.8
Tirupati,2,6,Standard,Winter,34564.51
Srinagar,7,4,Standard,Winter,73617.64
Jodhpur,5,5,Luxury,Winter,94562.9
Tawang,2,4,Budget,Winter,17049.03
Mussoorie,3,10,Standard,Autumn,67428.07
Pahalgam,1,2,Standard,Summer,7009.79
Agra,1,3,Luxury,Monsoon,11697.73
South Goa,7,5,Standard,Autumn,98745.76
Gulmarg,6,3,Standard,Summer,85662.65
Araku Valley,4,1,Budget,Spring,3683.7
Kochi,2,2,Budget,Autumn,6347.1
Gwalior,4,13,Standard,Winter,89982.49
Lonavala,5,7,Luxury,Summer,125382.9
Gokarna,6,12,Standard,Monsoon,61606.17
South Goa,8,10,Standard,Spring,227245.72
Madurai,4,11,Budget,Monsoon,28565.76
Kanyakumari,8,8,Standard,Autumn,70507.63
South Goa,4,1,Standard,Summer,14725.39
Pushkar,2,1,Budget,Monsoon,1461.71
Darjeeling,8,13,Luxury,Winter,366924.68
South Goa,5,2,Budget,Summer,28644.16
Dharamshala,3,14,Budget,Summer,49798.25
Jodhpur,5,4,Budget,Autumn,30123.34
Puri,1,11,Budget,Autumn,14925.07
South Goa,6,9,Standard,Spring,160545.23
Mussoorie,2,9,Standard,Autumn,43134.84
Jaisalmer,2,8,Standard,Monsoon,31739.25
Tirupati,3,14,Luxury,Winter,175446.24
Darjeeling,1,10,Budget,Summer,27082.98
Kalimpong,5,5,Standard,Summer,36721.32
Port Blair,2,4,Standard,Autumn,22431.06
Madurai,8,13,Luxury,Summer,202985.53
Chennai,6,11,Luxury,Autumn,172235.22
Tirupati,6,1,Budget,Summer,10735.88
North Goa,7,13,Standard,Monsoon,167649.38
Mysore,2,10,Luxury,Summer,77150.46
Kolkata,6,13,Luxury,Winter,262717.06
Rann of Kutch,1,11,Standard,Summer,74932.53
Ranthambore,4,3,Luxury,Summer,78488.7
Chennai,3,11,Budget,Winter,51972.55
South Goa,5,5,Standard,Monsoon,63609.66
Jaipur,4,8,Luxury,Spring,109809.74
Mussoorie,5,5,Standard,Spring,52484.29
Munnar,2,6,Luxury,Autumn,46486.15
Bhubaneswar,5,13,Budget,Monsoon,53724.01
Thekkady,3,12,Budget,Autumn,61403.4
Kochi,4,11,Standard,Spring,76235.56
Rann of Kutch,1,8,Standard,Winter,53046.09
Cherrapunji,4,3,Standard,Spring,23951.02
Gangtok,7,10,Luxury,Winter,269992.42
Majuli,2,2,Budget,Spring,3625.55
Mussoorie,1,4,Luxury,Spring,20240.05
Munnar,1,6,Budget,Winter,16461.75
Araku Valley,4,2,Luxury,Autumn,16028.0
Pelling,1,7,Standard,Monsoon,13782.13
Pelling,7,13,Luxury,Autumn,231963.82
Manali,3,10,Luxury,Winter,120100.49
Pondicherry,3,14,Budget,Autumn,64919.4
Pachmarhi,4,12,Luxury,Monsoon,83946.65
Munnar,5,6,Budget,Autumn,48504.6
Kaziranga,4,1,Standard,Monsoon,10149.47
Varkala,3,9,Standard,Summer,42106.78
Jodhpur,5,8,Budget,Winter,69331.23
Alleppey,5,12,Budget,Spring,100885.24
Gwalior,2,3,Budget,Summer,9189.85
Kaziranga,1,2,Budget,Autumn,6992.03
Ooty,3,13,Luxury,Winter,157594.28
Jaisalmer,7,2,Luxury,Winter,53017.3
Coorg,5,11,Budget,Spring,81143.65
Pachmarhi,2,4,Luxury,Spring,20493.38
Alleppey,3,1,Budget,Summer,6267.94
Tawang,2,3,Budget,Monsoon,8707.68
Kochi,8,6,Standard,Autumn,76751.6
Mysore,6,9,Standard,Summer,105077.89
Bengaluru,2,2,Luxury,Autumn,20274.95
Gangtok,1,12,Standard,Spring,37429.43
Dharamshala,8,2,Luxury,Summer,33612.67
Kodaikanal,1,3,Standard,Autumn,7618.72
Leh,4,9,Standard,Winter,165454.8
Rishikesh,1,10,Luxury,Autumn,23758.16
Pushkar,8,5,Standard,Summer,45504.59
Gwalior,3,7,Budget,Monsoon,20517.76
Mussoorie,7,12,Budget,Spring,123419.74
Coorg,1,10,Luxury,Monsoon,36434.46
Rameswaram,3,1,Budget,Summer,2932.48
Alleppey,8,11,Standard,Monsoon,139021.97
Srinagar,8,1,Budget,Autumn,13138.79
Orchha,5,7,Luxury,Autumn,73053.62
Haridwar,4,6,Luxury,Monsoon,24353.56
Mysore,1,3,Standard,Monsoon,5671.39
Jaipur,5,4,Luxury,Autumn,72030.03
Shimla,7,1,Luxury,Autumn,20820.93
Khajuraho,8,7,Standard,Summer,120171.03
Chennai,1,1,Budget,Spring,1822.58
Gulmarg,3,4,Luxury,Winter,103629.99
Gokarna,6,3,Luxury,Winter,37451.49
