attraction_name,destination_name,category,description,entry_fee,opening_time,closing_time,average_visit_time,image
Simhachalam Temple,Visakhapatnam,Spiritual,A historic temple dedicated to Lord Narasimha.,0.0,07:00:00,21:00:00,90,attractions/simhachalam_temple.jpg
Tirumala Venkateswara Temple,Tirupati,Spiritual,The world-famous hilltop temple of Lord Venkateswara.,0.0,03:00:00,23:59:59,240,attractions/tirumala_venkateswara_temple.jpg
Sri Kapileswara Swamy Temple,Tirupati,Spiritual,"An ancient temple dedicated to Shiva, next to a waterfall.",0.0,05:00:00,21:00:00,60,attractions/sri_kapileswara_swamy_temple.jpg
Chandragiri Fort,Tirupati,Heritage,A 11th-century fort which served as late Vijayanagara capital.,25.0,09:00:00,17:30:00,90,attractions/chandragiri_fort.jpg
Sri Govindaraja Swamy Temple,Tirupati,Spiritual,A prominent temple complex with an imposing tower.,0.0,05:00:00,21:30:00,90,attractions/sri_govindaraja_swamy_temple.jpg
Talakona Waterfall,Tirupati,Nature,"The highest waterfall in Andhra Pradesh, inside reserve forests.",10.0,06:00:00,17:00:00,120,attractions/talakona_waterfall.jpg
Borra Caves,Araku Valley,Nature,Deep limestone caves showing stalactites.,80.0,10:00:00,17:00:00,90,attractions/borra_caves.jpg
Katiki Waterfalls,Araku Valley,Nature,A waterfall reachable by jeep track and trek.,0.0,08:00:00,17:00:00,120,attractions/katiki_waterfalls.jpg
Araku Tribal Museum,Araku Valley,Heritage,A museum explaining tribal lifestyle artifacts.,40.0,09:00:00,18:00:00,90,attractions/araku_tribal_museum.jpg
Padmapuram Gardens,Araku Valley,Nature,A historical botanical garden hosting treehouse stays.,40.0,09:00:00,18:00:00,60,attractions/padmapuram_gardens.jpg
Ananthagiri Coffee Plantations,Araku Valley,Nature,Scenic tea and coffee gardens located on hill slopes.,0.0,08:00:00,18:00:00,60,attractions/ananthagiri_coffee_plantations.jpg
Promenade Beach,Pondicherry,Beach,A rocky beachfront boulevard lined with heritage monuments.,0.0,00:00:00,23:59:59,90,attractions/promenade_beach.jpg
Auroville,Pondicherry,Spiritual,An experimental township containing the Matrimandir.,0.0,09:00:00,17:00:00,180,attractions/auroville.jpg
Sri Aurobindo Ashram,Pondicherry,Spiritual,A spiritual community ashram founded by Aurobindo.,0.0,08:00:00,18:00:00,60,attractions/sri_aurobindo_ashram.jpg
Paradise Beach Pondicherry,Pondicherry,Beach,A golden sand beach accessible by ferry across backwaters.,300.0,09:00:00,17:00:00,120,attractions/paradise_beach_pondicherry.jpg
French Quarter,Pondicherry,Heritage,Streets filled with mustard yellow colonial buildings and cafes.,0.0,00:00:00,23:59:59,120,attractions/french_quarter.jpg
Radhanagar Beach,Havelock Island,Beach,Award-winning beach famous for turquoise waters and sunsets.,0.0,06:00:00,18:00:00,180,attractions/radhanagar_beach.jpg
Elephant Beach,Havelock Island,Beach,Famous for coral reefs and water sports like snorkeling.,0.0,08:00:00,15:00:00,180,attractions/elephant_beach.jpg
Kalapathar Beach,Havelock Island,Beach,A quiet sandy beach framed by black rocks and forest tracks.,0.0,06:00:00,18:00:00,90,attractions/kalapathar_beach.jpg
Neil's Cove,Havelock Island,Beach,A beautiful hidden lagoon cove located next to Radhanagar.,0.0,06:00:00,17:30:00,60,attractions/neil's_cove.jpg
Havelock Dive Center,Havelock Island,Adventure,A diving school offering Scuba courses.,3500.0,07:00:00,16:00:00,150,attractions/havelock_dive_center.jpg
Cellular Jail National Memorial,Port Blair,Heritage,The historic colonial prison housing freedom fighters.,30.0,09:00:00,17:00:00,120,attractions/cellular_jail_national_memorial.jpg
Ross Island,Port Blair,Heritage,A colonial ruins island now home to wild deer.,100.0,08:30:00,16:00:00,150,attractions/ross_island.jpg
Chidiya Tapu,Port Blair,Nature,A bird watching beach point famous for sunsets.,0.0,06:00:00,18:00:00,90,attractions/chidiya_tapu.jpg
Samudrika Marine Museum,Port Blair,Heritage,A museum run by Indian Navy explaining marine life.,50.0,09:00:00,17:00:00,90,attractions/samudrika_marine_museum.jpg
Corbyn's Cove Beach,Port Blair,Beach,A palm-fringed sandy beach offering jet ski rides.,0.0,06:00:00,21:00:00,90,attractions/corbyn's_cove_beach.jpg
Gir Jungle Trail Safari,Gir National Park,Wildlife,A safari to spot Asiatic lions in natural forest habitats.,1000.0,06:00:00,17:00:00,180,attractions/gir_jungle_trail_safari.jpg
Devalia Safari Park,Gir National Park,Wildlife,An enclosed safari park offering guaranteed lion sightings.,200.0,07:30:00,17:30:00,90,attractions/devalia_safari_park.jpg
Kamleshwar Dam,Gir National Park,Nature,A scenic dam built inside Gir forest housing crocodiles.,0.0,08:00:00,17:00:00,45,attractions/kamleshwar_dam.jpg
Durbar Hall Museum Junagadh,Gir National Park,Heritage,A museum showing weapons and royal clothing relics.,20.0,10:00:00,17:00:00,90,attractions/durbar_hall_museum_junagadh.jpg
Somnath Temple Gate,Gir National Park,Spiritual,A nearby holy temple situated on shores of Gujarat.,0.0,06:00:00,21:30:00,90,attractions/somnath_temple_gate.jpg
White Desert Salt Flat,Rann of Kutch,Nature,A flat salt crust desert shining white under moon.,100.0,00:00:00,23:59:59,120,attractions/white_desert_salt_flat.jpg
Kalo Dungar Black Hill,Rann of Kutch,Nature,The highest point in Kutch offering desert panoramas.,0.0,06:00:00,18:00:00,90,attractions/kalo_dungar_black_hill.jpg
Aina Mahal Palace Bhuj,Rann of Kutch,Heritage,A palace of mirrors built during the 18th century.,20.0,09:00:00,17:00:00,60,attractions/aina_mahal_palace_bhuj.jpg
Prag Mahal,Rann of Kutch,Heritage,An old Italian Gothic style palace next to Aina Mahal.,20.0,09:00:00,17:00:00,60,attractions/prag_mahal.jpg
Bhujodi Crafts Village,Rann of Kutch,Heritage,A major weavers village displaying Kutch embroidery.,0.0,09:00:00,19:00:00,120,attractions/bhujodi_crafts_village.jpg
